Event,Date,Status,Tickets Sold,Tickets Available
Out in Tech DC | Queer + Trans POC Social,"Tuesday, October 22, 2019 5:00 PM",Past,79,341
Qorporate Roundtable #1 // All About Inclusion,"Thursday, October 24, 2019 1:00 PM",Past,22,28
Out in Tech BLR | #GetOffline,"Saturday, October 26, 2019 5:00 PM",Past,40,95
Out in Tech U | #GetThatGig at The Phluid Project,"Tuesday, October 29, 2019 6:00 PM",Past,73,102
Out in Tech U | Authenticity in Tech at Rutgers-New Brunswick,"Wednesday, October 30, 2019 6:00 PM",Past,12,163
Out in Tech NY | Fall Social at Peloton,"Wednesday, October 30, 2019 6:00 PM",Past,423,-3
Out in Tech PDX | November Social,"Tuesday, November 5, 2019 5:30 PM",Past,144,0
Out in Tech Atlanta | Launch Event at Flatiron School,"Tuesday, November 5, 2019 6:30 PM",Past,101,224
Out in Tech London | Let's Talk About Mental Health,"Wednesday, November 6, 2019 6:30 PM",Past,424,39
Out in Tech NY | Happy Hour at Henrietta Hudson,"Wednesday, November 6, 2019 6:30 PM",Past,253,167
"Out in Tech SF | It's Money, Honey","Tuesday, November 12, 2019 6:00 PM",Past,193,27
Out in Tech U | Graduation at Twitter ,"Tuesday, November 12, 2019 6:00 PM",Past,28,32
Out in Tech Boston | There's No I in Labels at Amazon,"Wednesday, November 13, 2019 6:00 PM",Past,272,55
Out in Tech DC | Tech & Campaign 2020,"Wednesday, November 13, 2019 6:30 PM",Past,143,277
Out in Tech Miami | Fall Social at RedBar,"Tuesday, November 19, 2019 6:00 PM",Past,39,271
Out in Tech NY | Account Management at Snap,"Wednesday, November 20, 2019 6:00 PM",Past,268,2
"Out in Tech PDX | We put the ""i"" in iOS","Wednesday, November 20, 2019 6:00 PM",Past,69,36
Out in Tech LDN | Get Ready for Winter! Social,"Thursday, November 21, 2019 6:30 PM",Past,141,9
Out in Tech Stockholm | Launch Event at King,"Thursday, November 28, 2019 6:00 PM",Past,91,329
Out in Tech NY | Reality Check! ,"Monday, December 2, 2019 6:00 PM",Past,487,28
Out in Tech PDX | December Social,"Tuesday, December 3, 2019 5:30 PM",Past,85,72
Out in Tech ATL | Lightning Talks at Microsoft ,"Tuesday, December 3, 2019 6:00 PM",Past,40,170
Out in Tech DC | Mental Health & Tech,"Tuesday, December 3, 2019 6:30 PM",Past,129,181
Out in Tech SF | Winter Social,"Saturday, December 7, 2019 5:00 PM",Past,130,780
Out in Tech SF | Digital Corps Happy Hour,"Saturday, December 7, 2019 5:30 PM",Past,80,230
Out in Tech Denver | Drag Brunch & Toy Social,"Sunday, December 8, 2019 10:00 AM",Past,26,74
"Out in Tech NY | Womxn's, Nonbinary, & TGNC Social at Cubbyhole","Monday, December 9, 2019 6:30 PM",Past,212,-2
Out in Tech Seattle | Working #OutHere,"Wednesday, December 11, 2019 5:30 PM",Past,75,0
Out in Tech Hyderabad | Cybersecurity for Everyone,"Saturday, December 14, 2019 4:00 PM",Past,39,111
Out in Tech LA | Gratitude Brunch + Hike,"Sunday, December 15, 2019 9:30 AM",Past,93,217
Out in Tech PDX | January Social,"Tuesday, January 7, 2020 6:00 PM",Past,68,109
"Out in Tech LA | New Era, New Me","Saturday, January 11, 2020 4:00 PM",Past,253,257
Out in Tech BOS | Tech Care of Yourself: Fitness and Wellness in Tech,"Wednesday, January 15, 2020 6:00 PM",Past,178,132
Out in Tech LDN | We Go Together: Intersectionality in the Media,"Wednesday, January 15, 2020 6:15 PM",Past,394,116
Out in Tech NY | Feelin’ Good as Health,"Wednesday, January 15, 2020 6:30 PM",Past,273,7
Out in Tech PDX | Demos and Drinks,"Wednesday, January 22, 2020 5:30 PM",Past,112,38
Out in Tech Stockholm | Creating Inclusive &amp; Open Workplace Cultures,"Wednesday, January 22, 2020 6:00 PM",Past,61,249
"Out in Tech ATL | New Year, New Social","Wednesday, January 22, 2020 6:00 PM",Past,53,197
"Out in Tech CHI | New Year, New Social","Thursday, January 23, 2020 6:00 PM",Past,155,35
Out in Tech LA | January Hike at Runyon Canyon,"Sunday, January 26, 2020 9:30 AM",Past,63,127
"Out in Tech ATX | New Year, New Social","Tuesday, January 28, 2020 5:30 PM",Past,169,81
Out in Tech Miami | Out in Tech x Product Hunt Meetup,"Tuesday, January 28, 2020 6:00 PM",Past,34,246
"Out in Tech NY | Womxn, Nonbinary & TGNC Social at Ginger's","Tuesday, January 28, 2020 6:30 PM",Past,166,144
"Out in Tech BOS | New Year, New You","Thursday, January 30, 2020 6:00 PM",Past,163,147
Out in Tech BLR | Queering the Talent Pool,"Saturday, February 1, 2020 1:00 PM",Past,51,139
Out in Tech PDX | Black Excellence: A Black History Month Celebration,"Tuesday, February 4, 2020 6:00 PM",Past,97,38
Out in Tech ATL | Speed Networking at Samsara,"Tuesday, February 11, 2020 6:00 PM",Past,67,123
"Out in Tech SF | Let's Talk About Sex, Baby","Wednesday, February 12, 2020 6:00 PM",Past,310,300
Out in Tech BOS | Tech-nically Dating,"Wednesday, February 12, 2020 6:00 PM",Past,165,45
Out in Tech NY | Tech-nically Dating,"Wednesday, February 12, 2020 6:30 PM",Past,743,9
Out in Tech IND | Out in Tech Indianapolis is Coming Out!,"Wednesday, February 19, 2020 6:00 PM",Past,58,252
Out in Tech LA | How Tech Empowers Storytelling,"Wednesday, February 19, 2020 6:00 PM",Past,305,305
Out in Tech PDX | Tech-nically Dating,"Wednesday, February 19, 2020 6:00 PM",Past,73,77
Out in Tech NY | The Future of Fashion Tech,"Thursday, February 20, 2020 6:00 PM",Past,195,10
Out in Tech Denver | Diversity and Inclusion in Tech,"Thursday, February 20, 2020 6:00 PM",Past,67,243
Out in Tech NY | February Happy Hour at Henrietta Hudson,"Monday, February 24, 2020 6:30 PM",Past,134,286
Out in Tech LDN  | How We Built This,"Wednesday, February 26, 2020 6:00 PM",Past,293,67
Out in Tech PDX | Intersectionality in Women's History,"Thursday, March 5, 2020 6:00 PM",Past,71,79
[Postponed]Out in Tech Stockholm | Ethical Tech,"Thursday, March 12, 2020 6:00 PM",Past,32,218
Out in Tech LA | March Hike at Temescal Canyon Park,"Sunday, March 15, 2020 9:30 AM",Past,40,150
[POSTPONED] Out in Tech London | Is It Me You're Looking For?,"Wednesday, March 18, 2020 6:15 PM",Past,99,231
[POSTPONED]  Speed Networking at Oscar Health,"Wednesday, March 18, 2020 6:30 PM",Past,95,127
[POSTPONED] Out in Tech Denver | Happy Hour at Blush &amp; Blu,"Thursday, March 19, 2020 6:00 PM",Past,23,427
Out in Tech SD | March Hike at Cowles Mountain,"Saturday, March 21, 2020 10:00 AM",Past,4,146
[POSTPONED] Out in Tech NY | Mind the Machine: AI-Powered Media &amp; Marketing,"Wednesday, March 25, 2020 6:30 PM",Past,341,64
[POSTPONED] Out in Tech ATL | Getting Diversity &amp; Inclusion Right,"Wednesday, March 25, 2020 6:30 PM",Past,47,263
Out in Tech U | Digital Mentorship Spring 2020 Kickoff,"Wednesday, March 25, 2020 9:00 PM",Past,93,217
Out in Tech U | NYC Mentorship Spring 2020 Kickoff,"Thursday, March 26, 2020 6:00 PM",Past,34,276
[POSTPONED] Out in Tech NY | Womxn &amp; TGNC Social at Stonewall with Newsela ,"Tuesday, March 31, 2020 6:30 PM",Past,54,346
Out in Tech | Queers On Zoom,Repeating Event,Past,0,5000
Out in Tech - Virtual Fireside Chat with Will Ryan,"Thursday, April 9, 2020 7:00 PM",Past,35,165
Out in Tech U | Digital Mentorship Spring 2020 Speed Networking,"Monday, April 13, 2020 9:00 PM",Past,45,265
Out in Tech | Queers On Zoom 4/13-4/17,Repeating Event,Past,0,5000
Out in Tech U | NYC Mentorship Spring 2020 Speed Networking,"Tuesday, April 14, 2020 6:00 PM",Past,22,288
Out in Tech | Queers On Zoom  4/20-4/24,Repeating Event,Past,0,5000
Out in Tech | Queers On Zoom  4/27-5/01,Repeating Event,Past,0,5000
Out in Tech Indianapolis | Netflix &amp; Spill: Strike A Pose,"Thursday, April 30, 2020 7:00 PM",Past,4,296
Out in Tech NY | Queers On Zoom : Getting Fitty With It,"Thursday, April 30, 2020 9:00 PM",Past,72,228
Out in Tech Philadelphia | Virtual Happy Hour ,"Friday, May 1, 2020 6:00 PM",Past,22,288
Out in Tech Indianapolis | Queer X Design: A Talk with Andy Campbell,"Tuesday, May 5, 2020 6:30 PM",Past,86,224
Out in Tech | Queers On Zoom  5/1-5/5,Repeating Event,Past,0,5000
Out in Tech U | Working #OutHere,"Tuesday, May 5, 2020 9:00 PM",Past,139,171
Out in Tech | Queers On Zoom : Backstage with Arlan Hamilton,"Wednesday, May 6, 2020 9:00 PM",Past,304,296
Out in Tech Philadelphia | Virtual Happy Hour (5.8.20),"Friday, May 8, 2020 6:00 PM",Past,24,286
Out in Tech | Queers On Zoom  5/11-5/15,Repeating Event,Past,0,5000
Out in Tech Events  | 5/18-5/22,Repeating Event,Past,0,5000
Out in Tech Boston | Because You're Worth It,"Wednesday, May 20, 2020 6:30 PM",Past,136,164
Out in Tech U | Digital Mentorship Spring 2020 Graduation,"Wednesday, May 20, 2020 9:00 PM",Past,73,237
Out in Tech U | NYC Mentorship Spring 2020 Graduation,"Thursday, May 21, 2020 6:00 PM",Past,57,253
Out in Tech Philadelphia | Happy Hour with NextFab (5.22.20),"Friday, May 22, 2020 6:00 PM",Past,21,289
Out in Tech India | Virtual Happy Hour ,"Sunday, May 24, 2020 7:00 PM",Past,13,297
Out in Tech Events  | 5/25-5/29,Repeating Event,Past,0,5000
Out in Tech Events  | 6/15-6/19,Repeating Event,Past,0,5000
Out in Tech | Black-Owned Businesses Showcase,"Tuesday, June 16, 2020 9:00 PM",Past,149,151
"Out in Tech | Pride Fireside with Brian Kelly, The Points Guy","Monday, June 22, 2020 7:00 PM",Past,191,809
Out in Tech Denver | Virtual Happy Hour,"Thursday, June 25, 2020 7:00 PM",Past,37,463
Out in Tech NY | Dataiku: Demos Gone Digital,"Tuesday, June 30, 2020 6:00 PM",Past,183,317
Out in Tech Chicago | CommUNITY Pride,"Tuesday, June 30, 2020 7:00 PM",Past,91,409
Out in Tech QTBIPOC | The Value of Coaching,"Wednesday, July 1, 2020 8:00 PM",Past,137,363
Out in Tech Madrid - Digital Meetup,"Wednesday, July 8, 2020 8:00 PM",Past,42,158
Out in Tech | Broadway Trivia ,"Monday, July 13, 2020 9:00 PM",Past,14,486
Out in Tech | Paris is Burning Watch Party,"Sunday, July 19, 2020 7:00 PM",Past,60,440
[POSTPONED] Pets of Out in Tech Pageant,"Wednesday, July 22, 2020 8:00 PM",Past,19,481
Out in Cybersecurity,"Thursday, July 23, 2020 2:00 PM",Past,563,37
Out in Tech PDX | Intersectionality in Design &amp; Tech - Design Week,"Friday, August 7, 2020 12:00 PM",Past,40,460
Out in Tech Denver | Game Jam!,"Friday, August 7, 2020 8:00 PM",Past,15,585
Out in Tech | Pet Pageant Extravaganza!,"Tuesday, August 25, 2020 8:00 PM",Past,138,362
Out in Tech | What The Health?,"Wednesday, August 26, 2020 6:30 PM",Past,204,296
Out in Tech | Lunch &amp; Learn - Queer Out the Vote,"Thursday, September 3, 2020 2:00 PM",Past,176,324
Out in Tech | Market BLKQ,"Monday, September 14, 2020 9:00 PM",Past,208,292
Out in Tech | Count Me In: Quantum Computing,"Thursday, September 17, 2020 4:00 PM",Past,284,216
Out in Tech U | An Evening With Entrepreneurs,"Tuesday, September 22, 2020 8:00 PM",Past,77,423
Mental Health in Tech: OiT Madrid,"Wednesday, September 23, 2020 8:00 PM",Past,36,14
Out in Tech | Cannabis &amp; Tech: A Joint Venture,"Thursday, September 24, 2020 8:00 PM",Past,842,158
Out in Tech | Speed Networking,"Tuesday, September 29, 2020 8:00 PM",Past,228,272
Out in Tech U |  Mentorship Fall 2020 Kickoff,"Thursday, October 1, 2020 8:00 PM",Past,180,130
Out in Tech | Miami Virtual Mixer,"Tuesday, October 6, 2020 6:00 PM",Past,30,470
Out in Tech Stockholm | Listen Up!,"Tuesday, October 6, 2020 7:00 PM",Past,58,442
Out in Tech #food | Q&A w/ Ben Mims,"Wednesday, October 7, 2020 8:00 PM",Past,61,439
Out in Tech | #TransAtTheOffice,"Thursday, October 8, 2020 8:30 PM",Past,143,357
Out in Tech | #GetThatGig,"Tuesday, October 13, 2020 9:00 PM",Past,332,168
Out in Tech | Lancement de OIT France,"Friday, October 16, 2020 1:00 PM",Past,35,465
Out in Tech | The Future of Work,"Thursday, October 22, 2020 3:00 PM",Past,478,522
Out in Tech U |  Mentorship Mid-Program Event,"Thursday, October 22, 2020 8:00 PM",Past,74,236
Out in Tech | Intersex Awareness Lunch and Learn,"Monday, October 26, 2020 1:00 PM",Past,62,438
Out in Tech U |  Belonging in Tech Panel,"Thursday, November 5, 2020 8:00 PM",Past,160,150
QTBIPOC Meditation &amp; Healing Workshop,"Tuesday, November 10, 2020 9:00 PM",Past,100,400
#Over-40 Virtual Mixer,"Wednesday, November 18, 2020 8:00 PM",Past,59,251
Out in Tech U | Mentorship Fall 2020 Graduation,"Tuesday, December 1, 2020 8:00 PM",Past,115,195
Out in Tech | UIUX: #CareerGigMixer,"Wednesday, December 2, 2020 8:00 PM",Past,224,276
Out in Tech U |  Game Night: Among Us,"Monday, December 7, 2020 8:00 PM",Past,27,483
Out in Tech | Keywords: AdTech for the LGBTQ+ Community,"Monday, December 7, 2020 8:00 PM",Past,155,345
Out in Tech | Storytelling: Journeys to Tech,"Tuesday, December 8, 2020 8:00 PM",Past,420,90
Out in Tech QTBIPOC | Coded Bias Screening + Happy Hour,"Sunday, December 13, 2020 4:30 PM",Past,6,194
Virtual Fair | Market BLKQ,"Monday, December 14, 2020 9:00 PM",Past,150,350
Out in Tech | Year End Party,"Thursday, December 17, 2020 8:00 PM",Past,173,327
Out in Tech U | Build Your Perfect Tech Resume,"Monday, January 11, 2021 8:00 PM",Past,186,314
Out in Tech Book Club | White Feminism,"Tuesday, January 26, 2021 8:00 PM",Past,126,374
Out in Tech | Black Mental Health - Interpersonal Effectiveness,"Tuesday, February 9, 2021 8:00 PM",Past,70,430
Out in Tech | Over40 Networking Mixer,"Tuesday, February 9, 2021 8:30 PM",Past,184,316
Equity Lunch and Learn,"Thursday, February 11, 2021 1:00 PM",Past,220,280
Out in Tech | Tech-Nically Dating,"Friday, February 12, 2021 6:00 PM",Past,455,45
OIT U Community Queer Trivia Night!,"Tuesday, February 16, 2021 8:00 PM",Past,46,454
Demos &amp; Drinks: Cybersecurity Edition,"Wednesday, February 17, 2021 6:00 PM",Past,390,610
OIT  #UIUX | What's In Your Portfolio?,"Thursday, February 18, 2021 8:00 PM",Past,102,398
Out In Tech | Black Mental Health - Mentors and Mocktails,"Tuesday, February 23, 2021 8:00 PM",Past,50,450
OIT  #gaymers | All Fun &amp; Gaymes,"Wednesday, February 24, 2021 8:00 PM",Past,60,0
Out in Tech U  | #GetThatGig (17-24yo),"Tuesday, March 9, 2021 8:00 PM",Past,222,778
OIT  #Gaymers | MAR10 Day Celebration!,"Wednesday, March 10, 2021 8:00 PM",Past,18,982
Out in Tech Denver | Speed Connection,"Wednesday, March 10, 2021 8:00 PM",Past,13,987
Out in Tech Women Committee |  Comedy Night:  Laughing Matters,"Wednesday, March 17, 2021 8:00 PM",Past,173,127
Out in Tech U  | Trans* in Tech,"Tuesday, March 23, 2021 8:00 PM",Past,48,952
Out in Tech UK  | Have I Got A Job For You! ☀️,"Wednesday, March 24, 2021 2:00 PM",Past,82,918
Out in Tech U | US Mentorship Spring 2021 Kickoff,"Monday, March 29, 2021 8:00 PM",Past,193,107
OIT  #UIUX RUXSTARS | Happy Hour Labs - April,"Wednesday, April 7, 2021 8:00 PM",Past,60,140
OiT  #UIUX RUXSTARS | Happy Hour Labs - April (Round 2),"Thursday, April 8, 2021 3:00 PM",Past,19,181
Out in Tech U | US Mentorship Spring 2021 Speed Networking,"Tuesday, April 13, 2021 8:00 PM",Past,49,251
"Out in Tech #book-club | Detransition, Baby","Thursday, April 15, 2021 8:00 PM",Past,28,972
Out in Tech Cyber Committee |  Cyber Happy Hour,"Thursday, April 15, 2021 8:00 PM",Past,45,55
Out in Tech U |  An Evening With... AI/Machine Learning Professionals,"Monday, April 19, 2021 8:00 PM",Past,175,25
OIT LA Committee | Comedy Night,"Tuesday, April 20, 2021 9:30 PM",Past,55,45
Out in Tech #over-40| Age Discrimination in Tech Hiring,"Thursday, April 22, 2021 8:00 PM",Past,314,686
Out in Tech Philadelphia Committee |  Philly Mock Interviews: Developers,"Monday, May 3, 2021 7:00 PM",Past,31,69
OiT #UIUX RUXSTARS | Happy Hour Labs - May,"Wednesday, May 5, 2021 8:00 PM",Past,42,158
Out in Tech Spring 2021 Working #OutHere Panel Event,"Wednesday, May 5, 2021 8:00 PM",Past,88,212
OiT #UIUX RUXSTARS | Happy Hour Labs - May (Round 2),"Thursday, May 6, 2021 3:00 PM",Past,12,188
Out in Tech Product Managers  and UIUX|  Equity in Product,"Tuesday, May 11, 2021 8:00 PM",Past,149,51
Out in Tech Philadelphia Committee |  Philly Spotlight,"Monday, May 17, 2021 7:00 PM",Past,0,300
OiT #UIUX | Designing with Equity,"Thursday, May 20, 2021 8:00 PM",Past,51,149
Out in Tech Over-40 Committee |  Networking Mixer,"Thursday, May 20, 2021 8:00 PM",Past,67,233
OIT Denver Committee | Job Fair,"Tuesday, May 25, 2021 8:00 PM",Past,51,49
Out in Tech Product Managers Committee |  Break The Ice,"Wednesday, May 26, 2021 8:00 PM",Past,31,269
Out in Tech U Spring 2021 US Mentorship Program - Graduation,"Thursday, May 27, 2021 8:00 PM",Past,115,185
OiT #UIUX | Equitable Research,"Thursday, May 27, 2021 8:00 PM",Past,111,89
Out in Tech Pride | Celebrating Troublemakers,"Thursday, June 3, 2021 4:00 PM",Past,2278,2722
Out In Tech Pride | Virtual Pride Party,"Wednesday, June 9, 2021 8:00 PM",Past,331,-31
Out in Tech |  Rainbow Rounds - A Happy Hour Speed Networking Event,"Wednesday, June 16, 2021 8:00 PM",Past,61,239
Out in Tech |  Rainbow Rounds (R2) - A Happy Hour Speed Networking Event,"Thursday, June 17, 2021 3:00 PM",Past,24,276
OIT Sweden | Speed networking with Out in Tech,"Thursday, June 17, 2021 5:30 PM",Past,11,189
OIT India | MindPeers Event,"Saturday, June 19, 2021 7:30 PM",Past,32,168
Out in Tech U | Level Up - Launching a Career in Tech,"Wednesday, June 23, 2021 8:00 PM",Past,175,125
OIT Women Committee | 'Bank On It' - FinTech Panel,"Wednesday, June 30, 2021 8:00 PM",Past,159,41
Out in Tech |  Wonder Shuffle - A Networking Event,"Wednesday, July 7, 2021 8:00 PM",Past,55,245
Out in Tech |  Wonder Shuffle (Round 2) - A Networking Event,"Thursday, July 8, 2021 3:00 PM",Past,20,280
Out in Tech Book Club | Fairest,"Thursday, July 8, 2021 8:00 PM",Past,37,163
Out in Tech |  Pixel Party - 8-Bit Style Networking Event,"Wednesday, August 4, 2021 8:00 PM",Past,59,41
Out in Tech |  Pixel Party (Round 2) - 8-Bit Style Networking Event,"Thursday, August 5, 2021 3:00 PM",Past,20,80
Out in Tech | Gaming//E-commerce,"Wednesday, August 25, 2021 4:00 PM",Past,910,4090
Out in Tech Stockholm Committee | Park Hangout,"Wednesday, September 1, 2021 5:30 PM",Past,24,176
Out in Tech | Galaxy Lounge - A Networking Event,"Wednesday, September 8, 2021 8:00 PM",Past,46,54
Out in Tech | Galaxy Lounge (Round 2) - A Networking Event,"Thursday, September 9, 2021 3:00 PM",Past,19,81
Out in Tech Careers | An Inside Job,"Friday, September 10, 2021 3:00 PM",Past,1057,3943
Out in Tech Over-40 Committee |  Networking Mixer,"Wednesday, September 15, 2021 8:00 PM",Past,109,4891
Out in Tech U | Building Your First Tech Resume,"Tuesday, September 21, 2021 8:00 PM",Past,84,916
OIT Black Mental Health | Emotion Regulation,"Tuesday, September 28, 2021 8:00 PM",Past,67,133
Out in Tech U | Mentorship Fall 2021 Kickoff,"Tuesday, October 5, 2021 8:00 PM",Past,73,227
OiT |  Rainbow Rounds - A Happy Hour Speed Networking Event (10/6),"Wednesday, October 6, 2021 8:00 PM",Past,70,230
OiT |  Rainbow Rounds (R2) - A Happy Hour Speed Networking Event (10/7),"Thursday, October 7, 2021 3:00 PM",Past,18,282
Out in Tech Atlanta | Amplifying LGBTQ+ in Tech,"Thursday, October 7, 2021 5:30 PM",Past,509,4491
Out in Tech | Leadership Training Institute 2021,"Thursday, October 14, 2021 3:00 PM",Past,2290,2910
Out in Tech U | Mentorship Fall 2021 Speed Networking,"Monday, October 18, 2021 8:00 PM",Past,30,270
Yatta! Anime Network Party!,"Wednesday, October 20, 2021 8:00 PM",Past,112,588
Out in Tech Book Club | Greedy,"Thursday, October 21, 2021 8:00 PM",Past,27,673
Out in Tech | How Tech is Influencing the Future of Education &amp; Healthcare,"Tuesday, October 26, 2021 4:00 PM",Past,422,4578
Get in the Game - Out in Tech U Trivia Night,"Tuesday, October 26, 2021 8:00 PM",Past,13,687
Out in Tech U | Mentorship Fall 2021 No Experience No Problem,"Wednesday, October 27, 2021 8:00 PM",Past,64,236
Out in Tech | Playhouse Crypto: Setting Up A Hot Wallet,"Wednesday, November 3, 2021 7:30 PM",Past,119,581
Out in Tech | Close the Deal: Talking about FinTech &amp; PropTech,"Tuesday, November 9, 2021 4:00 PM",Past,676,4324
Out in Tech | Demos &amp; Drinks: Show (Off) and Tell Edition,"Wednesday, November 10, 2021 6:00 PM",Past,234,866
Out in Tech Over-40 Committee | Year-End Roundtable,"Wednesday, November 10, 2021 8:00 PM",Past,53,647
Out in Tech | Career Talks ✨,"Tuesday, November 16, 2021 4:00 PM",Past,797,1203
Out in Tech UK Social,"Wednesday, November 24, 2021 7:30 PM",Past,98,52
Out In Tech Stockholm | 2 Year Celebration w/ Drag bingo!,"Thursday, November 25, 2021 6:00 PM",Past,8,492
Out In Tech | Over the Rainbow - UX Research Showcase,"Tuesday, November 30, 2021 8:00 PM",Past,86,314
Out in Tech Europe | What the Health,"Thursday, December 2, 2021 5:00 PM",Past,1,699
Out in Tech U Fall 2021 US Mentorship Program - Graduation,"Friday, December 3, 2021 8:00 PM",Past,35,265
Nail Your Tech Interview Workshop,"Tuesday, December 7, 2021 5:00 PM",Past,92,208
Out in Tech | Pride 365,"Thursday, December 9, 2021 4:00 PM",Past,194,506
Out In Tech | Day in the Life of a UX Researcher,"Thursday, December 9, 2021 9:00 PM",Past,144,256
Out In Tech | Year End Party 2021,"Wednesday, December 15, 2021 8:00 PM",Past,165,5
Out In Tech Philly Meetup,"Thursday, December 16, 2021 6:00 PM",Past,18,682
Out in Tech Over-40 Committee | Networking About Networking,"Wednesday, January 26, 2022 8:00 PM",Past,107,193
Out in Cybersecurity,"Thursday, January 27, 2022 5:30 PM",Past,601,4399
#iSeeMeInCyber | Cybersecurity Job Fair,"Thursday, January 27, 2022 6:00 PM",Past,97,5103
ETHDenver Fireside Chat,"Thursday, January 27, 2022 6:00 PM",Past,15,285
Out in Tech | Career Talks ✨,"Tuesday, February 8, 2022 3:00 PM",Past,1022,978
Out in Tech Stockholm | Social and Games,"Thursday, February 17, 2022 5:00 PM",Past,9,1991
Pivoting Into Tech,"Tuesday, February 22, 2022 5:00 PM",Past,146,154
Out In Tech | To Gather Together 2.22.2022 - Virtual Happy Hour,"Tuesday, February 22, 2022 8:00 PM",Past,73,27
Content Rules!,"Thursday, February 24, 2022 3:00 PM",Past,728,4272
Out in Tech Over-40 Committee | Cross-Pond Connections,"Wednesday, March 2, 2022 12:00 PM",Past,52,1948
Out in Tech UK Social,"Wednesday, March 2, 2022 7:00 PM",Past,90,60
Wine Down Wednesday: Out In Tech Carolinas visits AvidXchange,"Wednesday, March 9, 2022 6:00 PM",Past,31,209
OIT Denver | Job Fair,"Thursday, March 10, 2022 8:00 PM",Past,24,1976
Out in Tech | San Francisco Park Social,"Saturday, March 26, 2022 2:00 PM",Past,219,231
Out in Tech U | Mentorship Spring 2022  Kickoff,"Tuesday, April 5, 2022 8:00 PM",Past,122,178
Out in Tech UK: How can technology help us make more sustainable choices?,"Wednesday, April 6, 2022 7:00 PM",Past,164,186
Building Queer &amp; Trans Wealth,"Thursday, April 7, 2022 4:00 PM",Past,2386,2614
#book-club | Author Talk: Love and Other Disasters,"Thursday, April 21, 2022 8:00 PM",Past,26,174
Out In Tech U | Meet The Game Makers,"Thursday, April 21, 2022 8:00 PM",Past,48,252
OIT Philly | Meet Up,"Wednesday, April 27, 2022 6:00 PM",Past,49,1951
Out in Tech | Career Talks ✨,"Thursday, April 28, 2022 2:00 PM",Past,1726,1274
OIT Portland | Remix &amp; Remingle,"Thursday, April 28, 2022 5:30 PM",Past,112,43
Out in Tech U | Mentorship Spring 2022 Speed Networking,"Thursday, April 28, 2022 8:00 PM",Past,32,268
May The 4th Be With You,"Wednesday, May 4, 2022 5:30 PM",Past,50,50
Hike with OIT Stockholm,"Saturday, May 7, 2022 11:00 AM",Past,2,1998
Out in Tech PDX + #over-40 Community Mixer!,"Thursday, May 12, 2022 5:30 PM",Past,33,117
OIT Atlanta | Relaunch &amp; Social,"Thursday, May 12, 2022 7:00 PM",Past,51,49
Out in Tech U | Mentorship Spring 2022 Elevator Pitch Workshop,"Tuesday, May 17, 2022 8:00 PM",Past,24,276
OIT Boston | Spring Meet Up,"Wednesday, May 18, 2022 6:00 PM",Past,106,244
OIT Denver - Speed Networking Event,"Tuesday, May 24, 2022 6:00 PM",Past,20,1980
OIT Chicago | Remix &amp; Remingle,"Wednesday, May 25, 2022 6:00 PM",Past,107,393
"OIT UK | Let's Talk about Pride, Baby.","Thursday, May 26, 2022 7:00 PM",Past,209,1791
OIT Seattle | Network and Chill Pride Month Kickoff,"Wednesday, June 1, 2022 6:00 PM",Past,271,29
Out in Tech Pride 2022,"Thursday, June 2, 2022 4:00 PM",Past,1725,275
Out in Tech NYC x Adyen Social,"Thursday, June 2, 2022 6:00 PM",Past,326,-1
Out in Tech Over-40 Committee | Pride 2022 Networking Mixer,"Thursday, June 2, 2022 8:00 PM",Past,76,224
OIT Atlanta @ RenderATL | Community Social,"Thursday, June 2, 2022 9:00 PM",Past,106,-6
OIT San Francisco | Pride Rooftop Social,"Saturday, June 4, 2022 1:00 PM",Past,500,0
OIT Carolinas | Pride Month Networking Event | Sponsored by Honeywell,"Wednesday, June 8, 2022 6:00 PM",Past,78,22
Out in Tech U Spring 2022 US Mentorship Program - Graduation,"Wednesday, June 8, 2022 8:00 PM",Past,56,244
OIT Atlanta | Pride Summer Camp Social @ CallRail,"Thursday, June 16, 2022 7:00 PM",Past,46,4
OIT PDX | Pride Parade Viewing Party,"Sunday, June 19, 2022 10:30 AM",Past,28,472
OIT India | All for All at the Workspace - Panel,"Monday, June 20, 2022 11:00 AM",Past,11,1989
OIT Boston | Pride Panel,"Wednesday, June 22, 2022 6:00 PM",Past,106,44
OIT Philadelphia Game Night!,"Wednesday, June 22, 2022 6:00 PM",Past,19,81
Mental Health Matters: Out in Tech NYC x Quartet Health,"Thursday, June 23, 2022 6:00 PM",Past,149,91
Out in Tech DC | Summer Kickoff Happy Hour!,"Thursday, June 23, 2022 6:30 PM",Past,56,169
Out in Tech Austin | Stand Up + Socialize,"Wednesday, June 29, 2022 5:30 PM",Past,147,13
Qmmunity: Building Community across Continents,"Thursday, June 30, 2022 10:00 AM",Past,305,195
OIT Los Angeles | Pride Networking Social @ GoodRx,"Thursday, June 30, 2022 5:00 PM",Past,230,-5
Out in Tech NYC x The EDITION Social,"Thursday, June 30, 2022 6:00 PM",Past,358,-13
OIT UK | Pride Speed Networking,"Thursday, June 30, 2022 7:00 PM",Past,79,121
Summer fun with OIT Stockholm @ King,"Friday, July 1, 2022 5:30 PM",Past,38,2
Presented by Zaddy Solutions: How to be diverse in the tech world,"Wednesday, July 6, 2022 6:00 PM",Past,51,24
